CSDUID,CSDNAME,province,Property Tax Revenue,Taxation and Utilities
4617050,Dauphin,Manitoba,,
4618074,Arborg,Manitoba,,
4620048,Swan River,Manitoba,,
4622026,Thompson,Manitoba,,
4701008,Carnduff,Saskatchewan,,
4701024,Estevan,Saskatchewan,,
4702047,Weyburn,Saskatchewan,,
4703036,Assiniboia,Saskatchewan,,
4704048,Maple Creek,Saskatchewan,,
4705016,Kipling,Saskatchewan,,
4705052,Esterhazy,Saskatchewan,,
4706027,Regina,Saskatchewan,,
4706030,White City,Saskatchewan,,
4706031,Pilot Butte,Saskatchewan,,
4706039,Indian Head,Saskatchewan,,
4707037,Caronport,Saskatchewan,,
4707039,Moose Jaw,Saskatchewan,,
4708004,Swift Current,Saskatchewan,,
4709012,Yorkton,Saskatchewan,,
4710068,Wadena,Saskatchewan,,
4711066,Saskatoon,Saskatchewan,,
4711068,Warman,Saskatchewan,,
4711070,Martensville,Saskatchewan,,
4711073,Dalmeny,Saskatchewan,,
4711075,Osler,Saskatchewan,,
4713051,Macklin,Saskatchewan,,
4714044,Tisdale,Saskatchewan,,
4714051,Melfort,Saskatchewan,,
4714076,Nipawin,Saskatchewan,,
4715008,Humboldt,Saskatchewan,,
4715028,Waldheim,Saskatchewan,,
4715066,Prince Albert,Saskatchewan,,
4715068,Birch Hills,Saskatchewan,,
4716029,North Battleford,Saskatchewan,,
4717052,Meadow Lake,Saskatchewan,,
4801006,Medicine Hat,Alberta,,
4802008,Raymond,Alberta,,
4802009,Stirling,Alberta,,
4802012,Lethbridge,Alberta,,
4802013,Coalhurst,Alberta,,
4802014,Nobleford,Alberta,,
4802018,Picture Butte,Alberta,,
4802019,Coaldale,Alberta,,
4802022,Taber,Alberta,,
4802029,Vauxhall,Alberta,,
4802034,Brooks,Alberta,,
4802036,Duchess,Alberta,,
4803002,Magrath,Alberta,,
4803004,Cardston,Alberta,,
4803026,Nanton,Alberta,,
4805018,Strathmore,Alberta,,
4805048,Three Hills,Alberta,,
4806006,High River,Alberta,,
4806012,Okotoks,Alberta,,
4806016,Calgary,Alberta,,
4806017,Chestermere,Alberta,,
4806019,Cochrane,Alberta,,
4806021,Airdrie,Alberta,,
4806029,Carstairs,Alberta,,
4806034,Olds,Alberta,,
4807002,Provost,Alberta,,
4807026,Stettler,Alberta,,
4807054,Wainwright,Alberta,,
4808008,Innisfail,Alberta,,
4808011,Red Deer,Alberta,,
4808012,Sylvan Lake,Alberta,,
4808024,Eckville,Alberta,,
4808026,Bentley,Alberta,,
4808029,Blackfalds,Alberta,,
4808031,Lacombe,Alberta,,
4808039,Ponoka,Alberta,,
4809015,Rocky Mountain House,Alberta,,
4810011,Camrose,Alberta,,
4810028,Vegreville,Alberta,,
4810052,Two Hills,Alberta,,
4811002,Wetaskiwin,Alberta,,
4811013,Beaumont,Alberta,,
4811016,Leduc,Alberta,,
4811018,Devon,Alberta,,
4811019,Calmar,Alberta,,
4811048,Stony Plain,Alberta,,
4811049,Spruce Grove,Alberta,,
4811056,Fort Saskatchewan,Alberta,,
4811061,Edmonton,Alberta,,
4811062,St. Albert,Alberta,,
4811068,Morinville,Alberta,,
4812009,Bonnyville,Alberta,,
4812018,St. Paul,Alberta,,
4813019,Barrhead,Alberta,,
4815035,Banff,Alberta,,
4817029,Slave Lake,Alberta,,
4819009,Beaverlodge,Alberta,,
4819012,Grande Prairie,Alberta,,
5901012,Fernie,British Columbia,,
5901022,Cranbrook,British Columbia,,
5903004,Creston,British Columbia,,
5903011,Salmo,British Columbia,,
5903015,Nelson,British Columbia,,
5903045,Castlegar,British Columbia,,
5905005,Fruitvale,British Columbia,,
5905009,Montrose,British Columbia,,
5905018,Warfield,British Columbia,,
5907005,Osoyoos,British Columbia,,
5907009,Keremeos,British Columbia,,
5907014,Oliver,British Columbia,,
5907041,Penticton,British Columbia,,
5909052,Abbotsford,British Columbia,,
5915001,Langley,British Columbia,,
5915002,Langley,British Columbia,,
5915004,Surrey,British Columbia,,
5915007,White Rock,British Columbia,,
5915011,Delta,British Columbia,,
5915015,Richmond,British Columbia,,
5915022,Vancouver,British Columbia,,
5915025,Burnaby,British Columbia,,
5915029,New Westminster,British Columbia,,
5915034,Coquitlam,British Columbia,,
5915039,Port Coquitlam,British Columbia,,
5915043,Port Moody,British Columbia,,
5915046,North Vancouver,British Columbia,,
5915051,North Vancouver,British Columbia,,
5915055,West Vancouver,British Columbia,,
5915065,Lions Bay,British Columbia,,
5917010,Sidney,British Columbia,,
5917015,Central Saanich,British Columbia,,
5917021,Saanich,British Columbia,,
5917030,Oak Bay,British Columbia,,
5917034,Victoria,British Columbia,,
5917040,Esquimalt,British Columbia,,
5917041,Colwood,British Columbia,,
5917044,Langford,British Columbia,,
5917047,View Royal,British Columbia,,
5919012,Duncan,British Columbia,,
5919016,Lake Cowichan,British Columbia,,
5919021,Ladysmith,British Columbia,,
5921007,Nanaimo,British Columbia,,
5921018,Parksville,British Columbia,,
5921023,Qualicum Beach,British Columbia,,
5923008,Port Alberni,British Columbia,,
5926005,Comox,British Columbia,,
5926010,Courtenay,British Columbia,,
5927008,Powell River,British Columbia,,
5929005,Gibsons,British Columbia,,
5933054,Chase,British Columbia,,
5935010,Kelowna,British Columbia,,
5937014,Vernon,British Columbia,,
5937028,Armstrong,British Columbia,,
5937033,Enderby,British Columbia,,
5955014,Dawson Creek,British Columbia,,
5955034,Fort St. John,British Columbia,,
4806011,Diamond Valley,Alberta,,
4810039,Lloydminster,Saskatchewan,,
