REF_DATE,GEO,DGUID,Labour force status (8),Age (15A),Coordinate,Gender (3):Total - Gender[1],Symbol,Gender (3):Men+[2],Symbol,Gender (3):Women+[3],Symbol
2021,Canada,2021A000011124,Employed,25 to 64 years,1.3.5,14392985,,7465825,,6927160,
2021,Canada,2021A000011124,Employed,25 to 54 years,1.3.6,11306340,,5831675,,5474660,
2021,Canada,2021A000011124,Employed,25 to 34 years,1.3.7,3757450,,1960290,,1797160,
2021,Canada,2021A000011124,Employed,25 to 29 years,1.3.8,1807560,,937455,,870110,
2021,Canada,2021A000011124,Employed,30 to 34 years,1.3.9,1949880,,1022835,,927050,
2021,Canada,2021A000011124,Employed,35 to 44 years,1.3.10,3891525,,2011080,,1880445,
2021,Canada,2021A000011124,Employed,45 to 54 years,1.3.11,3657370,,1860310,,1797055,
2021,Canada,2021A000011124,Employed,55 to 64 years,1.3.12,3086645,,1634150,,1452495,
2021,Canada,2021A000011124,Employed,65 years and over,1.3.13,899380,,547475,,351905,
2021,Canada,2021A000011124,Employed,65 to 74 years,1.3.14,782885,,467470,,315410,
2021,Canada,2021A000011124,Employed,75 years and over,1.3.15,116495,,80000,,36495,
2021,Canada,2021A000011124,Unemployed,Total - Age,1.4.1,1988640,,999595,,989050,
2021,Canada,2021A000011124,Unemployed,15 to 24 years,1.4.2,491545,,248910,,242640,
2021,Canada,2021A000011124,Unemployed,15 to 19 years,1.4.3,180865,,88915,,91955,
2021,Canada,2021A000011124,Unemployed,20 to 24 years,1.4.4,310680,,160000,,150685,
2021,Canada,2021A000011124,Unemployed,25 to 64 years,1.4.5,1356880,,670550,,686330,
2021,Canada,2021A000011124,Unemployed,25 to 54 years,1.4.6,1029540,,500345,,529195,
2021,Canada,2021A000011124,Unemployed,25 to 34 years,1.4.7,413160,,206260,,206895,
2021,Canada,2021A000011124,Unemployed,25 to 29 years,1.4.8,220625,,114680,,105945,
2021,Canada,2021A000011124,Unemployed,30 to 34 years,1.4.9,192535,,91585,,100955,
2021,Canada,2021A000011124,Unemployed,35 to 44 years,1.4.10,320735,,149640,,171095,
2021,Canada,2021A000011124,Unemployed,45 to 54 years,1.4.11,295650,,144450,,151200,
2021,Canada,2021A000011124,Unemployed,55 to 64 years,1.4.12,327340,,170205,,157135,
2021,Canada,2021A000011124,Unemployed,65 years and over,1.4.13,140220,,80135,,60080,
2021,Canada,2021A000011124,Unemployed,65 to 74 years,1.4.14,117400,,68155,,49245,
2021,Canada,2021A000011124,Unemployed,75 years and over,1.4.15,22815,,11985,,10835,
2021,Canada,2021A000011124,Not in the labour force,Total - Age,1.5.1,11025575,,4804970,,6220605,
2021,Canada,2021A000011124,Not in the labour force,15 to 24 years,1.5.2,1660175,,868855,,791320,
2021,Canada,2021A000011124,Not in the labour force,15 to 19 years,1.5.3,1140430,,603060,,537375,
2021,Canada,2021A000011124,Not in the labour force,20 to 24 years,1.5.4,519745,,265800,,253945,
2021,Canada,2021A000011124,Not in the labour force,25 to 64 years,1.5.5,3818395,,1483965,,2334430,
2021,Canada,2021A000011124,Not in the labour force,25 to 54 years,1.5.6,2070015,,769720,,1300290,
2021,Canada,2021A000011124,Not in the labour force,25 to 34 years,1.5.7,728015,,286715,,441305,
2021,Canada,2021A000011124,Not in the labour force,25 to 29 years,1.5.8,371815,,163500,,208315,
2021,Canada,2021A000011124,Not in the labour force,30 to 34 years,1.5.9,356200,,123215,,232985,
2021,Canada,2021A000011124,Not in the labour force,35 to 44 years,1.5.10,660170,,223305,,436865,
2021,Canada,2021A000011124,Not in the labour force,45 to 54 years,1.5.11,681830,,259700,,422125,
2021,Canada,2021A000011124,Not in the labour force,55 to 64 years,1.5.12,1748380,,714240,,1034140,
2021,Canada,2021A000011124,Not in the labour force,65 years and over,1.5.13,5547005,,2452150,,3094850,
2021,Canada,2021A000011124,Not in the labour force,65 to 74 years,1.5.14,3090845,,1375150,,1715695,
2021,Canada,2021A000011124,Not in the labour force,75 years and over,1.5.15,2456160,,1077005,,1379160,
2021,Canada,2021A000011124,Participation rate,Total - Age,1.6.1,63.7,,67.7,,59.8,
2021,Canada,2021A000011124,Participation rate,15 to 24 years,1.6.2,60.3,,59.8,,60.8,
2021,Canada,2021A000011124,Participation rate,15 to 19 years,1.6.3,43.1,,41.8,,44.4,
2021,Canada,2021A000011124,Participation rate,20 to 24 years,1.6.4,76.1,,76.4,,75.9,
2021,Canada,2021A000011124,Participation rate,25 to 64 years,1.6.5,80.5,,84.6,,76.5,
2021,Canada,2021A000011124,Participation rate,25 to 54 years,1.6.6,85.6,,89.2,,82.2,
2021,Canada,2021A000011124,Participation rate,25 to 34 years,1.6.7,85.1,,88.3,,82.0,
2021,Canada,2021A000011124,Participation rate,25 to 29 years,1.6.8,84.5,,86.6,,82.4,
2021,Canada,2021A000011124,Participation rate,30 to 34 years,1.6.9,85.7,,90.0,,81.5,
2021,Canada,2021A000011124,Participation rate,35 to 44 years,1.6.10,86.5,,90.6,,82.4,
2021,Canada,2021A000011124,Participation rate,45 to 54 years,1.6.11,85.3,,88.5,,82.2,
2021,Canada,2021A000011124,Participation rate,55 to 64 years,1.6.12,66.1,,71.6,,60.9,
2021,Canada,2021A000011124,Participation rate,65 years and over,1.6.13,15.8,,20.4,,11.7,
2021,Canada,2021A000011124,Participation rate,65 to 74 years,1.6.14,22.6,,28.0,,17.5,
2021,Canada,2021A000011124,Participation rate,75 years and over,1.6.15,5.4,,7.9,,3.3,
2021,Canada,2021A000011124,Employment rate,Total - Age,1.7.1,57.1,,60.9,,53.4,
2021,Canada,2021A000011124,Employment rate,15 to 24 years,1.7.2,48.5,,48.3,,48.8,
2021,Canada,2021A000011124,Employment rate,15 to 19 years,1.7.3,34.0,,33.2,,34.9,
2021,Canada,2021A000011124,Employment rate,20 to 24 years,1.7.4,61.9,,62.1,,61.6,
2021,Canada,2021A000011124,Employment rate,25 to 64 years,1.7.5,73.6,,77.6,,69.6,
2021,Canada,2021A000011124,Employment rate,25 to 54 years,1.7.6,78.5,,82.1,,75.0,
2021,Canada,2021A000011124,Employment rate,25 to 34 years,1.7.7,76.7,,79.9,,73.5,
2021,Canada,2021A000011124,Employment rate,25 to 29 years,1.7.8,75.3,,77.1,,73.5,
2021,Canada,2021A000011124,Employment rate,30 to 34 years,1.7.9,78.0,,82.6,,73.5,
2021,Canada,2021A000011124,Employment rate,35 to 44 years,1.7.10,79.9,,84.4,,75.6,
2021,Canada,2021A000011124,Employment rate,45 to 54 years,1.7.11,78.9,,82.2,,75.8,
2021,Canada,2021A000011124,Employment rate,55 to 64 years,1.7.12,59.8,,64.9,,54.9,
2021,Canada,2021A000011124,Employment rate,65 years and over,1.7.13,13.7,,17.8,,10.0,
2021,Canada,2021A000011124,Employment rate,65 to 74 years,1.7.14,19.6,,24.5,,15.2,
2021,Canada,2021A000011124,Employment rate,75 years and over,1.7.15,4.5,,6.8,,2.6,
2021,Canada,2021A000011124,Unemployment rate,Total - Age,1.8.1,10.3,,9.9,,10.7,
2021,Canada,2021A000011124,Unemployment rate,15 to 24 years,1.8.2,19.5,,19.3,,19.7,
2021,Canada,2021A000011124,Unemployment rate,15 to 19 years,1.8.3,21.0,,20.5,,21.4,
2021,Canada,2021A000011124,Unemployment rate,20 to 24 years,1.8.4,18.7,,18.6,,18.9,
2021,Canada,2021A000011124,Unemployment rate,25 to 64 years,1.8.5,8.6,,8.2,,9.0,
2021,Canada,2021A000011124,Unemployment rate,25 to 54 years,1.8.6,8.3,,7.9,,8.8,
2021,Canada,2021A000011124,Unemployment rate,25 to 34 years,1.8.7,9.9,,9.5,,10.3,
2021,Canada,2021A000011124,Unemployment rate,25 to 29 years,1.8.8,10.9,,10.9,,10.9,
2021,Canada,2021A000011124,Unemployment rate,30 to 34 years,1.8.9,9.0,,8.2,,9.8,
2021,Canada,2021A000011124,Unemployment rate,35 to 44 years,1.8.10,7.6,,6.9,,8.3,
2021,Canada,2021A000011124,Unemployment rate,45 to 54 years,1.8.11,7.5,,7.2,,7.8,
2021,Canada,2021A000011124,Unemployment rate,55 to 64 years,1.8.12,9.6,,9.4,,9.8,
2021,Canada,2021A000011124,Unemployment rate,65 years and over,1.8.13,13.5,,12.8,,14.6,
2021,Canada,2021A000011124,Unemployment rate,65 to 74 years,1.8.14,13.0,,12.7,,13.5,
2021,Canada,2021A000011124,Unemployment rate,75 years and over,1.8.15,16.4,,13.0,,22.9,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,Total - Age,2.1.1,433955,,211180,,222780,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,15 to 24 years,2.1.2,51430,,26775,,24650,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,15 to 19 years,2.1.3,25820,,13430,,12390,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,20 to 24 years,2.1.4,25610,,13345,,12265,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,25 to 64 years,2.1.5,267785,,129440,,138340,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,25 to 54 years,2.1.6,183840,,88785,,95055,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,25 to 34 years,2.1.7,52050,,25705,,26345,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,25 to 29 years,2.1.8,24790,,12530,,12260,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,30 to 34 years,2.1.9,27260,,13175,,14080,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,35 to 44 years,2.1.10,59840,,28525,,31315,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,45 to 54 years,2.1.11,71950,,34550,,37400,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,55 to 64 years,2.1.12,83945,,40655,,43290,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,65 years and over,2.1.13,114745,,54960,,59785,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,65 to 74 years,2.1.14,73705,,36040,,37660,
2021,Newfoundland and Labrador,2021A000210,Total - Labour force status,75 years and over,2.1.15,41040,,18915,,22120,
2021,Newfoundland and Labrador,2021A000210,In the labour force,Total - Age,2.2.1,243330,,123685,,119645,
2021,Newfoundland and Labrador,2021A000210,In the labour force,15 to 24 years,2.2.2,29220,,14800,,14420,
2021,Newfoundland and Labrador,2021A000210,In the labour force,15 to 19 years,2.2.3,10020,,4685,,5335,
2021,Newfoundland and Labrador,2021A000210,In the labour force,20 to 24 years,2.2.4,19200,,10110,,9090,
2021,Newfoundland and Labrador,2021A000210,In the labour force,25 to 64 years,2.2.5,200510,,100470,,100035,
2021,Newfoundland and Labrador,2021A000210,In the labour force,25 to 54 years,2.2.6,151875,,74770,,77100,
2021,Newfoundland and Labrador,2021A000210,In the labour force,25 to 34 years,2.2.7,42700,,21455,,21240,
2021,Newfoundland and Labrador,2021A000210,In the labour force,25 to 29 years,2.2.8,19865,,10230,,9630,
2021,Newfoundland and Labrador,2021A000210,In the labour force,30 to 34 years,2.2.9,22835,,11220,,11610,
2021,Newfoundland and Labrador,2021A000210,In the labour force,35 to 44 years,2.2.10,50625,,24565,,26055,
2021,Newfoundland and Labrador,2021A000210,In the labour force,45 to 54 years,2.2.11,58550,,28745,,29805,
2021,Newfoundland and Labrador,2021A000210,In the labour force,55 to 64 years,2.2.12,48630,,25700,,22935,
2021,Newfoundland and Labrador,2021A000210,In the labour force,65 years and over,2.2.13,13605,,8415,,5195,
2021,Newfoundland and Labrador,2021A000210,In the labour force,65 to 74 years,2.2.14,12290,,7515,,4770,
2021,Newfoundland and Labrador,2021A000210,In the labour force,75 years and over,2.2.15,1320,,895,,420,
2021,Newfoundland and Labrador,2021A000210,Employed,Total - Age,2.3.1,206285,,101470,,104810,
2021,Newfoundland and Labrador,2021A000210,Employed,15 to 24 years,2.3.2,22825,,11225,,11595,
2021,Newfoundland and Labrador,2021A000210,Employed,15 to 19 years,2.3.3,7850,,3585,,4260,
2021,Newfoundland and Labrador,2021A000210,Employed,20 to 24 years,2.3.4,14970,,7640,,7330,
2021,Newfoundland and Labrador,2021A000210,Employed,25 to 64 years,2.3.5,172925,,83905,,89025,
2021,Newfoundland and Labrador,2021A000210,Employed,25 to 54 years,2.3.6,133180,,63635,,69550,
2021,Newfoundland and Labrador,2021A000210,Employed,25 to 34 years,2.3.7,36600,,17845,,18760,
2021,Newfoundland and Labrador,2021A000210,Employed,25 to 29 years,2.3.8,16905,,8390,,8520,
2021,Newfoundland and Labrador,2021A000210,Employed,30 to 34 years,2.3.9,19695,,9455,,10240,
2021,Newfoundland and Labrador,2021A000210,Employed,35 to 44 years,2.3.10,44920,,21270,,23650,
2021,Newfoundland and Labrador,2021A000210,Employed,45 to 54 years,2.3.11,51655,,24515,,27140,
2021,Newfoundland and Labrador,2021A000210,Employed,55 to 64 years,2.3.12,39745,,20275,,19475,
2021,Newfoundland and Labrador,2021A000210,Employed,65 years and over,2.3.13,10540,,6345,,4195,
2021,Newfoundland and Labrador,2021A000210,Employed,65 to 74 years,2.3.14,9485,,5605,,3880,
2021,Newfoundland and Labrador,2021A000210,Employed,75 years and over,2.3.15,1050,,740,,315,
2021,Newfoundland and Labrador,2021A000210,Unemployed,Total - Age,2.4.1,37050,,22215,,14835,
2021,Newfoundland and Labrador,2021A000210,Unemployed,15 to 24 years,2.4.2,6400,,3570,,2825,
2021,Newfoundland and Labrador,2021A000210,Unemployed,15 to 19 years,2.4.3,2170,,1105,,1070,
2021,Newfoundland and Labrador,2021A000210,Unemployed,20 to 24 years,2.4.4,4225,,2470,,1755,
2021,Newfoundland and Labrador,2021A000210,Unemployed,25 to 64 years,2.4.5,27580,,16565,,11010,
2021,Newfoundland and Labrador,2021A000210,Unemployed,25 to 54 years,2.4.6,18695,,11140,,7550,
2021,Newfoundland and Labrador,2021A000210,Unemployed,25 to 34 years,2.4.7,6095,,3615,,2480,
2021,Newfoundland and Labrador,2021A000210,Unemployed,25 to 29 years,2.4.8,2960,,1845,,1110,
2021,Newfoundland and Labrador,2021A000210,Unemployed,30 to 34 years,2.4.9,3135,,1765,,1370,
2021,Newfoundland and Labrador,2021A000210,Unemployed,35 to 44 years,2.4.10,5705,,3295,,2410,
2021,Newfoundland and Labrador,2021A000210,Unemployed,45 to 54 years,2.4.11,6900,,4235,,2660,
2021,Newfoundland and Labrador,2021A000210,Unemployed,55 to 64 years,2.4.12,8885,,5430,,3455,
2021,Newfoundland and Labrador,2021A000210,Unemployed,65 years and over,2.4.13,3070,,2075,,1000,
2021,Newfoundland and Labrador,2021A000210,Unemployed,65 to 74 years,2.4.14,2805,,1910,,895,
2021,Newfoundland and Labrador,2021A000210,Unemployed,75 years and over,2.4.15,265,,165,,100,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,Total - Age,2.5.1,190625,,87495,,103125,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,15 to 24 years,2.5.2,22210,,11980,,10235,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,15 to 19 years,2.5.3,15800,,8745,,7055,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,20 to 24 years,2.5.4,6405,,3235,,3175,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,25 to 64 years,2.5.5,67280,,28975,,38310,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,25 to 54 years,2.5.6,31970,,14015,,17950,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,25 to 34 years,2.5.7,9355,,4250,,5105,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,25 to 29 years,2.5.8,4930,,2295,,2635,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,30 to 34 years,2.5.9,4425,,1955,,2470,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,35 to 44 years,2.5.10,9215,,3960,,5255,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,45 to 54 years,2.5.11,13395,,5805,,7595,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,55 to 64 years,2.5.12,35315,,14955,,20355,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,65 years and over,2.5.13,101135,,46545,,54595,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,65 to 74 years,2.5.14,61415,,28525,,32890,
2021,Newfoundland and Labrador,2021A000210,Not in the labour force,75 years and over,2.5.15,39720,,18020,,21705,
2021,Newfoundland and Labrador,2021A000210,Participation rate,Total - Age,2.6.1,56.1,,58.6,,53.7,
2021,Newfoundland and Labrador,2021A000210,Participation rate,15 to 24 years,2.6.2,56.8,,55.3,,58.5,
2021,Newfoundland and Labrador,2021A000210,Participation rate,15 to 19 years,2.6.3,38.8,,34.9,,43.1,
2021,Newfoundland and Labrador,2021A000210,Participation rate,20 to 24 years,2.6.4,75.0,,75.8,,74.1,
2021,Newfoundland and Labrador,2021A000210,Participation rate,25 to 64 years,2.6.5,74.9,,77.6,,72.3,
2021,Newfoundland and Labrador,2021A000210,Participation rate,25 to 54 years,2.6.6,82.6,,84.2,,81.1,
2021,Newfoundland and Labrador,2021A000210,Participation rate,25 to 34 years,2.6.7,82.0,,83.5,,80.6,
2021,Newfoundland and Labrador,2021A000210,Participation rate,25 to 29 years,2.6.8,80.1,,81.6,,78.5,
2021,Newfoundland and Labrador,2021A000210,Participation rate,30 to 34 years,2.6.9,83.8,,85.2,,82.5,
2021,Newfoundland and Labrador,2021A000210,Participation rate,35 to 44 years,2.6.10,84.6,,86.1,,83.2,
2021,Newfoundland and Labrador,2021A000210,Participation rate,45 to 54 years,2.6.11,81.4,,83.2,,79.7,
2021,Newfoundland and Labrador,2021A000210,Participation rate,55 to 64 years,2.6.12,57.9,,63.2,,53.0,
2021,Newfoundland and Labrador,2021A000210,Participation rate,65 years and over,2.6.13,11.9,,15.3,,8.7,
2021,Newfoundland and Labrador,2021A000210,Participation rate,65 to 74 years,2.6.14,16.7,,20.9,,12.7,
2021,Newfoundland and Labrador,2021A000210,Participation rate,75 years and over,2.6.15,3.2,,4.7,,1.9,
2021,Newfoundland and Labrador,2021A000210,Employment rate,Total - Age,2.7.1,47.5,,48.0,,47.0,
2021,Newfoundland and Labrador,2021A000210,Employment rate,15 to 24 years,2.7.2,44.4,,41.9,,47.0,
2021,Newfoundland and Labrador,2021A000210,Employment rate,15 to 19 years,2.7.3,30.4,,26.7,,34.4,
2021,Newfoundland and Labrador,2021A000210,Employment rate,20 to 24 years,2.7.4,58.5,,57.2,,59.8,
2021,Newfoundland and Labrador,2021A000210,Employment rate,25 to 64 years,2.7.5,64.6,,64.8,,64.4,
2021,Newfoundland and Labrador,2021A000210,Employment rate,25 to 54 years,2.7.6,72.4,,71.7,,73.2,
2021,Newfoundland and Labrador,2021A000210,Employment rate,25 to 34 years,2.7.7,70.3,,69.4,,71.2,
2021,Newfoundland and Labrador,2021A000210,Employment rate,25 to 29 years,2.7.8,68.2,,67.0,,69.5,
2021,Newfoundland and Labrador,2021A000210,Employment rate,30 to 34 years,2.7.9,72.2,,71.8,,72.7,
2021,Newfoundland and Labrador,2021A000210,Employment rate,35 to 44 years,2.7.10,75.1,,74.6,,75.5,
2021,Newfoundland and Labrador,2021A000210,Employment rate,45 to 54 years,2.7.11,71.8,,71.0,,72.6,
2021,Newfoundland and Labrador,2021A000210,Employment rate,55 to 64 years,2.7.12,47.3,,49.9,,45.0,
2021,Newfoundland and Labrador,2021A000210,Employment rate,65 years and over,2.7.13,9.2,,11.5,,7.0,
2021,Newfoundland and Labrador,2021A000210,Employment rate,65 to 74 years,2.7.14,12.9,,15.6,,10.3,
2021,Newfoundland and Labrador,2021A000210,Employment rate,75 years and over,2.7.15,2.6,,3.9,,1.4,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,Total - Age,2.8.1,15.2,,18.0,,12.4,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,15 to 24 years,2.8.2,21.9,,24.1,,19.6,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,15 to 19 years,2.8.3,21.7,,23.6,,20.1,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,20 to 24 years,2.8.4,22.0,,24.4,,19.3,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,25 to 64 years,2.8.5,13.8,,16.5,,11.0,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,25 to 54 years,2.8.6,12.3,,14.9,,9.8,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,25 to 34 years,2.8.7,14.3,,16.8,,11.7,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,25 to 29 years,2.8.8,14.9,,18.0,,11.5,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,30 to 34 years,2.8.9,13.7,,15.7,,11.8,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,35 to 44 years,2.8.10,11.3,,13.4,,9.2,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,45 to 54 years,2.8.11,11.8,,14.7,,8.9,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,55 to 64 years,2.8.12,18.3,,21.1,,15.1,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,65 years and over,2.8.13,22.6,,24.7,,19.2,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,65 to 74 years,2.8.14,22.8,,25.4,,18.8,
2021,Newfoundland and Labrador,2021A000210,Unemployment rate,75 years and over,2.8.15,20.1,,18.4,,23.8,
2021,Division No.  1,2021A00031001,Total - Labour force status,Total - Age,3.1.1,229275,,110980,,118295,
2021,Division No.  1,2021A00031001,Total - Labour force status,15 to 24 years,3.1.2,29690,,15385,,14305,
2021,Division No.  1,2021A00031001,Total - Labour force status,15 to 19 years,3.1.3,13955,,7195,,6765,
2021,Division No.  1,2021A00031001,Total - Labour force status,20 to 24 years,3.1.4,15735,,8200,,7540,
2021,Division No.  1,2021A00031001,Total - Labour force status,25 to 64 years,3.1.5,146125,,70535,,75595,
2021,Division No.  1,2021A00031001,Total - Labour force status,25 to 54 years,3.1.6,104790,,50670,,54115,
2021,Division No.  1,2021A00031001,Total - Labour force status,25 to 34 years,3.1.7,32215,,15895,,16320,
2021,Division No.  1,2021A00031001,Total - Labour force status,25 to 29 years,3.1.8,15470,,7810,,7660,
2021,Division No.  1,2021A00031001,Total - Labour force status,30 to 34 years,3.1.9,16745,,8085,,8660,
2021,Division No.  1,2021A00031001,Total - Labour force status,35 to 44 years,3.1.10,35190,,16935,,18255,
2021,Division No.  1,2021A00031001,Total - Labour force status,45 to 54 years,3.1.11,37380,,17840,,19540,
2021,Division No.  1,2021A00031001,Total - Labour force status,55 to 64 years,3.1.12,41340,,19870,,21475,
2021,Division No.  1,2021A00031001,Total - Labour force status,65 years and over,3.1.13,53455,,25060,,28400,
2021,Division No.  1,2021A00031001,Total - Labour force status,65 to 74 years,3.1.14,34250,,16395,,17855,
2021,Division No.  1,2021A00031001,Total - Labour force status,75 years and over,3.1.15,19210,,8665,,10545,
2021,Division No.  1,2021A00031001,In the labour force,Total - Age,3.2.1,138105,,69955,,68145,
2021,Division No.  1,2021A00031001,In the labour force,15 to 24 years,3.2.2,18105,,9065,,9045,
2021,Division No.  1,2021A00031001,In the labour force,15 to 19 years,3.2.3,5980,,2775,,3200,
2021,Division No.  1,2021A00031001,In the labour force,20 to 24 years,3.2.4,12130,,6285,,5845,
2021,Division No.  1,2021A00031001,In the labour force,25 to 64 years,3.2.5,112980,,56605,,56380,
2021,Division No.  1,2021A00031001,In the labour force,25 to 54 years,3.2.6,88820,,43780,,45040,
2021,Division No.  1,2021A00031001,In the labour force,25 to 34 years,3.2.7,27155,,13600,,13555,
2021,Division No.  1,2021A00031001,In the labour force,25 to 29 years,3.2.8,12710,,6515,,6200,
2021,Division No.  1,2021A00031001,In the labour force,30 to 34 years,3.2.9,14445,,7085,,7365,
2021,Division No.  1,2021A00031001,In the labour force,35 to 44 years,3.2.10,30430,,14950,,15480,
2021,Division No.  1,2021A00031001,In the labour force,45 to 54 years,3.2.11,31230,,15230,,15995,
2021,Division No.  1,2021A00031001,In the labour force,55 to 64 years,3.2.12,24165,,12825,,11335,
2021,Division No.  1,2021A00031001,In the labour force,65 years and over,3.2.13,7015,,4290,,2720,
2021,Division No.  1,2021A00031001,In the labour force,65 to 74 years,3.2.14,6275,,3760,,2510,
