CSDNAME,CSDUID,Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%)
"Division No.  3, Subd. E",1003021,0,0
"Division No.  3, Subd. F",1003024,55.5556,60
Ramea,1003026,44.4444,50
Burgeo,1003028,54.9451,49.2958
"Division No.  3, Subd. H",1003031,52.8302,54.1667
Isle aux Morts,1003032,42.1053,44
Burnt Islands,1003033,48.7805,52.9412
Channel-Port aux Basques,1003034,50.8361,49.5968
"Division No.  3, Subd. I",1003038,50,50
Rose Blanche-Harbour le Cou,1003045,56.6667,61.9048
Samiajij Miawpukek,1003801,50.5376,49.2308
"Division No.  4, Subd. A",1004001,51.6129,48.8636
"Division No.  4, Subd. B",1004006,59.5506,56.8966
"Division No.  4, Subd. C",1004011,41.6667,37.037
St. George's,1004013,50.5882,46.875
"Division No.  4, Subd. D",1004016,49.4624,45.4545
Gallants,1004017,80,75
Stephenville Crossing,1004018,48.1132,40.7895
Stephenville,1004019,49.9025,46.9484
Kippens,1004020,53.2164,49.2958
Port au Port East,1004021,50,40.9091
"Division No.  4, Subd. E",1004022,44.4444,38.0282
Cape St. George,1004033,44.0678,43.4783
Lourdes,1004037,45,40.7407
Port au Port West-Aguathuna-Felix Cove,1004042,53.8462,50
"Division No.  5, Subd. A",1005001,46.1538,44.4444
"Division No.  5, Subd. G",1005003,53.8462,36.8421
Deer Lake,1005004,46.4467,46.4832
Jackson's Arm,1005005,59.2593,44.4444
Howley,1005006,63.6364,71.4286
"Division No.  5, Subd. E",1005007,30,42.8571
Hampden,1005008,53.4884,54.8387
Reidville,1005009,46.1538,42.2222
"Division No.  5, Subd. F",1005010,51.2195,47.7612
Steady Brook,1005011,48.7179,45.7143
Pasadena,1005012,49.6951,48.3986
Cormack,1005014,46.3415,48.4848
Gillams,1005015,54.717,55.3191
"Division No.  5, Subd. C",1005016,47.619,45
Massey Drive,1005017,50.5102,50.8287
Corner Brook,1005018,50.3646,48.3431
Humber Arm South,1005020,46.7532,43.6508
McIvers,1005022,46.5116,43.5897
Cox's Cove,1005023,54.5455,47.0588
Lark Harbour,1005024,54.7619,43.3333
Meadows,1005025,46.9388,45
Hughes Brook,1005028,53.8462,52.1739
Irishtown-Summerside,1005030,51.8519,50
Mount Moriah,1005033,53.4247,50
York Harbour,1005035,57.1429,53.3333
"Division No.  6, Subd. D",1006001,50,39.5349
Norris Arm,1006003,58.6957,54.5455
"Division No.  6, Subd. E",1006008,36.3636,33.3333
Gander,1006009,49.3266,48.6248
Appleton,1006011,47.3684,44.898
Glenwood,1006012,50,44.2308
"Division No.  6, Subd. C",1006014,37.5,50
Northern Arm,1006015,52.9412,51.7241
Grand Falls-Windsor,1006017,48.7241,46.0439
Bishop's Falls,1006019,49.6154,44.2857
Peterview,1006021,46.1538,47.3684
Botwood,1006022,50.2463,42.5
Badger,1006026,50.8772,50
Millertown,1006028,60,60
"Division No.  6, Subd. A",1006029,80,66.6667
Buchans,1006031,46.1538,35.1351
"Division No.  7, Subd. M",1007001,54.0146,52.3364
"Division No.  7, Subd. L",1007006,53.271,51.7241
"Division No.  7, Subd. K",1007009,47.7778,45.122
Clarenville,1007013,50.2235,49.4863
"Division No.  7, Subd. J",1007014,52.6316,45.9459
Trinity (Trinity Bay),1007015,50,42.8571
Port Rexton,1007016,40.4762,40.5405
"Division No.  7, Subd. I",1007018,75,50
Elliston,1007020,51.4286,40.9091
Trinity Bay North,1007022,51.1628,49.0566
Bonavista,1007023,50.6944,48.5106
"Division No.  7, Subd. G",1007024,42.8571,41.1765
King's Cove,1007027,57.1429,60
"Division No.  7, Subd. F",1007028,52.1739,53.4884
"Division No.  7, Subd. E",1007031,51.0917,46.1988
Musgravetown,1007032,46.875,37.5
Port Blandford,1007036,56.0976,58.0645
Traytown,1007037,50,52.381
"Division No.  7, Subd. D",1007038,50,55.5556
Sandy Cove,1007039,37.5,33.3333
Terra Nova,1007040,80,75
Eastport,1007042,45.4545,50
Sandringham,1007043,46.6667,42.8571
Glovertown,1007044,51.0345,48.6486
"Division No.  7, Subd. N",1007045,75,75
Salvage,1007046,52.9412,60
Gambo,1007047,50,50.4425
St. Brendan's,1007048,66.6667,100
Hare Bay,1007049,46.875,38.0952
Centreville-Wareham-Trinity,1007050,62.6866,54.3478
Greenspond,1007054,50,52.6316
"Division No.  7, Subd. A",1007056,63.6364,62.5
Dover,1007057,54.5455,50
New-Wes-Valley,1007060,53.5354,50.8772
Indian Bay,1007067,46.1538,44.4444
"Division No.  8, Subd. M",1008001,55.5556,62.5
Lumsden,1008004,48,53.8462
Musgrave Harbour,1008006,43.75,38.6364
"Division No.  8, Subd. L",1008008,50,43.0556
Carmanville,1008011,57.4468,51.4286
Change Islands,1008024,56.25,63.6364
"Division No.  8, Subd. I",1008026,50,57.1429
Crow Head,1008029,53.8462,50
"Division No.  8, Subd. H",1008031,52.5547,50.6024
Cottlesville,1008032,68.75,66.6667
Summerford,1008033,50.8475,47.8261
Twillingate,1008035,53.0612,50.4425
"Division No.  8, Subd. G",1008036,63.1579,57.1429
Campbellton,1008037,53.8462,50
Birchy Bay,1008038,54.7619,50
Comfort Cove-Newstead,1008039,55.5556,47.619
Baytona,1008040,52.381,46.6667
"Division No.  8, Subd. F",1008042,52.381,45.8333
Embree,1008043,60.6061,60
Lewisporte,1008044,52.0161,50.2488
Little Burnt Bay,1008045,61.1111,63.6364
"Division No.  8, Subd. E",1008046,52,42.8571
Point of Bay,1008047,45.4545,25
Leading Tickles,1008048,45,39.2857
Point Leamington,1008049,48.9796,47.0588
Pilley's Island,1008053,61.5385,50
Triton,1008054,56.044,55.7143
Brighton,1008055,60,58.3333
Lushes Bight-Beaumont-Beaumont North,1008056,77.7778,75
"Division No.  8, Subd. C",1008058,56.5217,55.8824
South Brook,1008059,48.5714,50
Robert's Arm,1008060,57.4074,53.6585
Springdale,1008061,49.0291,48.5714
Little Bay,1008063,66.6667,60
"Division No.  8, Subd. P",1008065,57.1429,52.9412
Beachside,1008066,69.2308,50
"Division No.  8, Subd. O",1008067,59.0909,57.8947
King's Point,1008069,54.2857,51.9231
Burlington,1008071,62.069,65.2174
Middle Arm,1008072,51.0638,63.3333
"Division No.  8, Subd. A",1008074,58.3333,60
Fleur de Lys,1008075,35,45.4545
LaScie,1008076,55.5556,55.0725
Brent's Cove,1008077,46.1538,50
Pacquet,1008078,50,40
Baie Verte,1008079,52.3364,54.1176
Seal Cove (White Bay),1008091,58.3333,55.5556
Coachman's Cove,1008092,50,61.5385
Westport,1008093,50,60
Ming's Bight,1008095,56,63.1579
Woodstock,1008096,55.5556,75
Miles Cove,1008098,50,60
Fogo Island,1008099,51.7073,52.2876
"Division No.  9, Subd. F",1009001,50,0
Englee,1009004,47.3684,50
Roddickton-Bide Arm,1009007,52.381,45.7627
Conche,1009008,58.3333,44.4444
"Division No.  9, Subd. A",1009009,42.8571,42.8571
Trout River,1009010,50,44.4444
"Woody Point, Bonne Bay",1009011,52.381,40
Norris Point,1009012,55.102,53.8462
Rocky Harbour,1009013,49.3976,50.8772
Daniel's Harbour,1009015,52,55
Cow Head,1009016,52.6316,44.8276
Parson's Pond,1009017,42.8571,41.1765
Hawke's Bay,1009018,68.75,61.5385
Port Saunders,1009019,49.3506,44.0678
St. Pauls,1009020,40,37.5
"Division No.  9, Subd. C",1009021,49.4845,47.1074
Port au Choix,1009022,45.2381,34
Anchor Point,1009023,44.4444,33.3333
Flower's Cove,1009024,46.1538,45.4545
Bird Cove,1009026,55.5556,50
Main Brook,1009028,58.8235,71.4286
St. Anthony,1009029,47.1503,44.3038
Glenburnie-Birchy Head-Shoal Brook,1009030,45,54.5455
"Division No.  9, Subd. D",1009031,53.3333,43.3333
St. Lunaire-Griquet,1009032,48,45.4545
Cook's Harbour,1009034,66.6667,50
Raleigh,1009035,45.4545,33.3333
Goose Cove East,1009039,62.5,61.5385
"Division No.  9, Subd. H",1009041,66.6667,66.6667
"Division No.  9, Subd. G",1009047,100,100
River of Ponds,1009048,45,57.1429
"Division No. 10, Subd. A",1010001,45.4545,50
L'Anse au Loup,1010002,52.7273,53.3333
Red Bay,1010003,60,66.6667
L'Anse-au-Clair,1010004,55.5556,50
Forteau,1010005,47.3684,46.6667
West St. Modeste,1010006,66.6667,50
Pinware,1010007,50,50
"Division No. 10, Subd. B",1010008,50,45.4545
Port Hope Simpson,1010009,53.8462,56.5217
St. Lewis,1010010,50,41.6667
Mary's Harbour,1010011,58.0645,50
"Cartwright, Labrador",1010012,52.381,48
Charlottetown (Labrador),1010013,56.6667,50
North West River,1010022,49.1228,44
Happy Valley-Goose Bay,1010025,50.2793,49.1945
"Division No. 10, Subd. D",1010029,54.7368,56.1798
Labrador City,1010032,55.977,56.5693
Wabush,1010034,56.7347,57.0815
Natuashish 2,1010801,48.2759,47.9167
Sheshatshiu 3,1010802,50,44.4444
Rigolet,1011010,50,37.5
Postville,1011015,52.9412,50
Makkovik,1011020,48.4848,41.6667
Hopedale,1011030,50,44.1176
Nain,1011035,47.8261,47.541
Murray Harbour,1101002,61.9048,68.4211
Murray Harbour,1101003,54.6667,54.4118
Murray River,1101004,50,47.8261
"Murray River, Part 1",1101005,52.7027,52.381
Cardigan,1101020,37.5,35.7143
Central Kings,1101025,43.75,53.8462
Central Kings,1101027,47.9167,42.8571
Annandale - Little Pond - Howe Bay,1101030,45.4545,50
Souris West,1101033,54.0541,53.125
Souris,1101035,53.9906,56.8528
Souris,1101036,50.5747,52
St. Peters,1101037,58.6667,61.9048
Eastern Kings,1101040,50.8197,54.902
Morell,1101043,55.6452,54.3103
St. Peters Bay,1101044,51.8519,48
Three Rivers,1101045,49.8698,48.8856
Morell,1101048,51.4286,50
"East River, Part 2",1101052,50.7042,55.7377
Belfast,1102002,54.9383,53.1034
"Murray River, Part 2",1102003,41.6667,41.6667
Montague,1102005,75,75
Crossroads,1102010,49.5413,50
Hazelbrook,1102011,55,52.9412
Alexandra,1102013,53.3333,55.5556
Johnstons River,1102015,43.1818,42.5
Vernon River,1102016,52.3077,52.5862
New Glasgow,1102017,50.2092,51.0638
"Crapaud, Part 1",1102018,52.6316,51.2821
North Rustico,1102019,42.4242,44.4444
North Wiltshire,1102020,51.7241,54.1667
Hampshire,1102021,55.814,56.7568
Kingston,1102022,50,50
Rocky Point 3,1102030,40,40
Victoria,1102032,46.6667,46.1538
Crapaud,1102034,46.1538,50
Darlington,1102035,35.7143,35.7143
Clyde River,1102037,48.6486,50.7042
Miltonvale Park,1102040,46.2121,44.5378
Hunter River,1102043,47.7273,50
"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",1102045,55.8824,58.6207
North Rustico,1102046,50.9804,48.6486
Union Road,1102050,52.381,46.6667
Breadalbane,1102051,50,40
Brackley,1102055,50,49.2958
Scotchfort 4,1102057,52.6316,46.6667
Mount Stewart,1102059,57.6923,50
York,1102061,45.8333,46.6667
"East River, Part 1",1102064,51.6854,51.0204
"Kensington, Part 2",1102066,56.7568,56.7164
North Shore,1102067,51.0791,50.3906
West River,1102068,53.2468,52.6462
Winsloe North,1102069,50,50
Warren Grove,1102070,63.0435,60
New London,1102071,52.1472,52.4476
North River,1102072,62.5,63.6364
North Shore,1102073,50.5882,52.2013
Charlottetown,1102075,50.7918,50.4057
Stratford,1102080,51.0566,50.2757
Cornwall,1102085,51.5478,50.2915
Borden,1103002,58.0645,56.7901
Kinkora,1103003,53.5948,56.9343
"Crapaud, Part 2",1103004,54.0541,52.1127
Borden-Carleton,1103005,53.6082,55.9524
Malpeque Bay,1103007,54.5455,54.7009
Kinkora,1103008,50,51.2195
Kensington,1103014,52.3256,53.1646
Bedeque and Area,1103015,43.75,44.8276
Sherbrooke,1103018,50,50
Wellington,1103020,56.8807,57.0707
Tyne Valley,1103021,51.1364,50
St. Nicholas,1103022,52,47.8261
Linkletter,1103023,45.1613,44.4444
Miscouche,1103024,53.8462,55.2083
Summerside,1103025,49.9692,49.794
Abram-Village,1103027,57.8947,58.8235
Wellington,1103029,52.2727,50
Tyne Valley,1103033,61.5385,45.4545
Lennox Island 1,1103035,51.6129,52
Lot 11 and Area,1103039,51.9231,48.8889
Miscouche,1103040,48.9796,50.5747
O'Leary,1103042,45.7143,44.6154
Central Prince,1103043,52.1008,53.8462
Northport,1103050,44,39.1304
Alberton,1103052,52.5862,50.9615
St. Felix,1103053,59.375,50
Greenmount-Montrose,1103055,55.8824,58.6207
St. Louis,1103057,33.3333,50
Tignish,1103059,48.75,47.8873
Tignish Shore,1103060,38.4615,42.8571
Tignish,1103061,48.4163,48.1675
Miminegash,1103062,60,72.7273
Miminegash,1103063,57.732,55.8442
Alberton,1103064,53.3333,51.7094
O'Leary,1103065,54.1818,50.885
West Point,1103066,40,36.8421
"Kensington, Part 1",1103067,52.0325,51.5337
Victoria,1103068,50,66.6667
Barrington,1201001,54.3446,54.591
Clark's Harbour,1201004,53.6585,52.0548
Shelburne,1201006,57.2152,58.1197
Shelburne,1201008,52.9801,50.7692
Lockeport,1201009,58.0645,61.5385
Argyle,1202001,55.0063,55.4269
Yarmouth,1202004,51.7207,52.0316
Yarmouth,1202006,48.398,47.9042
Yarmouth 33,1202040,53.8462,44.4444
Clare,1203001,52.1676,51.7355
Digby,1203004,51.3219,52.2901
Digby,1203006,52.3529,52.8571
Bear River (Part) 6,1203009,36.3636,33.3333
Queens,1204010,53.911,53.7921
Wildcat 12,1204015,75,50
"Annapolis, Subd. D",1205001,52.5926,52.0661
"Annapolis, Subd. A",1205004,53.4113,53.271
Annapolis Royal,1205008,38.4615,45.4545
"Annapolis, Subd. B",1205009,56.25,55.8739
"Annapolis, Subd. C",1205014,51.2871,51.5284
Middleton,1205016,45.3901,44.186
Lunenburg,1206001,52.8625,53.5865
Bridgewater,1206004,48.4772,48.6252
Lunenburg,1206006,49.5192,50.2825
Mahone Bay,1206008,41.25,41.6667
Chester,1206009,52.4793,53.2622
Gold River 21,1206011,57.1429,40
"Kings, Subd. A",1207001,52.7856,52.929
Annapolis Valley First Nation,1207002,53.4247,51.6129
Berwick,1207004,50.8108,48.7952
"Kings, Subd. C",1207011,52.5466,53.7396
Kentville,1207012,52.322,52.7304
"Kings, Subd. B",1207016,50.3797,51.5789
"Kings, Subd. D",1207021,54.3186,54.0481
Wolfville,1207024,50.3861,50.1188
Glooscap 35,1207027,44.4444,28.5714
West Hants,1208003,52.1715,52.7863
East Hants,1208008,52.8842,53.481
Indian Brook 14,1208014,49.0909,48.6772
Cole Harbour 30,1209019,46.1538,40
Halifax,1209034,51.1661,51.739
"Colchester, Subd. C",1210001,51.1182,51.8051
Stewiacke,1210002,48.7013,50
Millbrook 27,1210003,49.2063,50.9434
Truro,1210006,48.4211,48.5082
"Colchester, Subd. B",1210008,50.5578,50.709
"Colchester, Subd. A",1210012,52.1614,53.7705
"Cumberland, Subd. A",1211001,55.5102,51.7073
"Cumberland, Subd. B",1211006,50.5474,49.1416
"Cumberland, Subd. C",1211009,51.2476,50.547
Amherst,1211011,48.9078,48.2094
Oxford,1211012,55.2083,54.4304
"Cumberland, Subd. D",1211014,54.0541,52.2013
"Pictou, Subd. A",1212001,54.4803,55.2361
Pictou,1212004,47.3251,46.1538
"Pictou, Subd. B",1212006,53.0864,52.7163
Westville,1212008,48.2759,48.6692
Stellarton,1212009,47.7157,47.6471
"Pictou, Subd. C",1212011,51.1568,50.7463
New Glasgow,1212014,47.958,48.5411
Trenton,1212016,49.3506,51.0309
Fisher's Grant 24,1212019,51.0204,53.4884
St. Mary's,1213001,53.4759,57.047
Guysborough,1213004,55.7333,54.7231
Mulgrave,1213008,50,48.9362
"Antigonish, Subd. A",1214001,50.6652,50.6098
Antigonish,1214002,48.394,48.0519
"Antigonish, Subd. B",1214006,50.4717,50.9025
Paqtnkek-Niktuek No. 23,1214010,48.2759,45.4545
"Inverness, Subd. C",1215001,54.8495,53.8462
Port Hawkesbury,1215002,51.6129,51.7787
"Inverness, Subd. B",1215006,51.8764,51.928
Whycocomagh 2,1215008,47.8261,45
"Inverness, Subd. A",1215011,51.9068,53.6388
"Richmond, Subd. C",1216001,53.2567,50.9009
"Richmond, Subd. A",1216006,51.5723,51.1029
"Richmond, Subd. B",1216011,55.9055,52.5773
Chapel Island 5,1216014,51.5152,51.8519
Membertou 28B,1217008,46.988,42.3729
Eskasoni 3,1217020,48.1818,47.619
Cape Breton,1217030,49.8797,48.0281
"Victoria, Subd. B",1218001,53.4091,52.1739
Wagmatcook 1,1218003,52.2727,55.8824
"Victoria, Subd. A",1218006,52.5926,51.0417
Saint Martins,1301001,54.5455,55.7692
St. Martins,1301002,45.4545,44.4444
Simonds,1301004,53.0713,53.4435
Saint John,1301006,50.3123,49.5698
Musquash,1301016,54.0323,57.5472
Grand Manan,1302001,50,62.5
Campobello Island,1302004,48.3516,48.2759
West Isles,1302006,53.0303,51.6129
Lepreau,1302008,50.6329,49.2754
Pennfield,1302011,50.463,49.2228
Blacks Harbour,1302012,52.9412,53.6232
Clarendon,1302014,44.4444,57.1429
Saint George,1302016,52.8736,54.6256
St. George,1302018,46.7836,46.3087
Saint Patrick,1302021,51.7857,42.2222
Saint Andrews,1302024,52.6316,50
Saint Andrews,1302026,48.4211,48.0663
Saint Croix,1302028,52.9412,52.6316
Dufferin,1302031,54.1667,55.814
Saint Stephen,1302034,50.3185,47.1429
St. Stephen,1302037,49.2958,48.8312
Saint James,1302039,53.0973,50
Saint David,1302042,52.9412,52.8455
Dumbarton,1302044,53.5714,50
Grand Manan,1302052,53.0686,53.0864
Blissville,1303001,51.3514,50
Gladstone,1303004,54.1667,55.3191
Tracy,1303005,51.5152,53.4483
Fredericton Junction,1303006,50,52.9412
Lincoln,1303008,50.0588,49.4975
Burton,1303011,52.8736,52.2727
Oromocto,1303012,57.5665,58.4137
Oromocto 26,1303013,50,55.5556
Sheffield,1303014,49.4253,49.3506
Maugerville,1303016,51.6746,51.0309
Northfield,1303018,54,47.619
Petersville,1304001,54.4118,50
Gagetown,1304004,48.5714,40.625
Gagetown,1304005,56.6667,57.6923
Hampstead,1304006,44.4444,47.8261
Wickham,1304008,53.8462,57.5758
Cambridge,1304011,59.5238,61.1111
Cambridge-Narrows,1304013,43.1818,44.4444
Johnston,1304014,50.9091,51.0204
Brunswick,1304016,47.0588,57.1429
Waterborough,1304018,48.6111,46.7742
Canning,1304021,54.7368,53.012
Minto,1304022,51.8325,47.8261
Chipman,1304024,53.4884,52
Chipman,1304025,47.619,48.4211
Hammond,1305001,56,59.0909
Upham,1305004,51.5385,49.5726
Hampton,1305006,50.6897,48.5185
Hampton,1305007,50.8009,50.3797
Rothesay,1305008,63.2653,60.9756
Westfield,1305011,53.4247,51.7588
Kingston,1305014,50.6173,51.0135
Grand Bay-Westfield,1305015,50.9506,49.2901
Norton,1305016,53.2847,51.2195
Norton,1305018,55.7047,56.7164
Sussex,1305021,54.2125,54.5455
Sussex,1305022,47.3008,45.6647
Sussex Corner,1305023,48.8722,47.9675
Waterford,1305024,64.5833,62.5
Cardwell,1305026,55.4745,55.9055
Havelock,1305028,54.0816,52.2727
Studholm,1305031,51.7442,50.7987
Springfield,1305034,56.9767,57.1429
Kars,1305036,51.7241,46.4286
Greenwich,1305038,52.6882,51.8072
Rothesay,1305045,50.8261,49.6985
Quispamsis,1305057,49.95,49.65
Hopewell,1306001,55.7377,50
Riverside-Albert,1306003,50,55.5556
Harvey,1306004,46.3415,42.8571
Alma,1306006,52.1739,41.6667
Elgin,1306008,59.0909,60.5263
Hillsborough,1306011,57.1429,58.0645
Coverdale,1306014,52.2449,51.9912
Riverview,1306020,51.1121,51.354
Hillsborough,1306025,52.0661,51.7857
Westmorland,1307001,54.902,53.7634
Port Elgin,1307002,56.5217,50
Botsford,1307004,44.0476,36.2319
Beaubassin East,1307005,51.8519,50.4854
Cap-Pelé,1307007,50.7813,49.7738
Sackville,1307008,57.9365,56.7797
Sackville,1307009,47.3595,47.4806
Dorchester,1307011,52.2727,55
Dorchester,1307012,56.8182,56.0976
Memramcook,1307013,52.3364,52.7054
Shediac,1307016,52.1583,50.9165
Moncton,1307019,53.6606,52.9148
Moncton,1307022,51.0278,50.6012
Salisbury,1307024,53.0303,51.6556
Salisbury,1307028,50,51.3636
Petitcodiac,1307029,55.5556,53.3333
Dieppe,1307045,50.6815,50.6626
Shediac,1307052,49.0701,48.4848
Dundas,1308001,53.8636,54.5685
Cocagne,1308002,52.1452,51.1538
Buctouche 16,1308003,54.5455,60
Wellington,1308004,51.0204,48.6486
Bouctouche,1308005,47.1545,45.3704
Saint Mary,1308006,51.6484,50.6173
Saint-Antoine,1308007,50.5263,49.7207
Saint-Paul,1308008,56.0976,53.125
Harcourt,1308010,45,41.1765
Weldford,1308014,51.5152,46.3636
Richibucto 15,1308015,48.7395,46.1538
Richibucto,1308016,51.6432,50.2646
Rexton,1308017,56.4356,50.5882
Richibucto,1308018,53.6364,55.2083
Saint-Charles,1308019,53.4314,49.4048
Indian Island 28,1308020,57.1429,40
Saint-Louis,1308021,48.3516,47.3684
Saint-Louis de Kent,1308022,46.5753,43.5484
Acadieville,1308024,59.0909,52.8302
Carleton,1308026,56.6667,56.8627
Hardwicke,1309001,54.1284,49.7207
Glenelg,1309004,51.3514,50
Chatham,1309006,52.7273,52
Derby,1309011,51.1364,51.2195
Nelson,1309014,54.717,51.1111
Rogersville,1309016,57.3171,51.7857
Rogersville,1309017,52.381,48.4848
Blackville,1309018,53.1646,46.6019
Blackville,1309019,50,43.0556
Blissfield,1309021,42.1053,36.3636
Doaktown,1309022,53.1646,49.2308
Red Bank 4,1309023,43.9024,44.7368
Southesk,1309026,50.5682,45.0331
