REF_DATE,GEO,DGUID,Gender (3a),Age (8G),Statistics (5),Coordinate,Indigenous identity (9):Total - Indigenous identity[1],Symbol,Indigenous identity (9):Indigenous identity[2],Symbol,Indigenous identity (9):Single Indigenous responses[3],Symbol,Indigenous identity (9):First Nations (North American Indian)[4],Symbol,Indigenous identity (9):Métis[5],Symbol,Indigenous identity (9):Inuk (Inuit)[6],Symbol,Indigenous identity (9):Multiple Indigenous responses[7],Symbol,Indigenous identity (9):Indigenous responses not included elsewhere[8],Symbol,Indigenous identity (9):Non-Indigenous identity[9],Symbol
2021,Canada,2021A000011124,Total - Gender,35 to 44 years,2021 Counts,1.1.5.1,4872425,,217990,,210655,,123400,,79510,,7740,,3390,,3945,,4654430,
2021,Canada,2021A000011124,Total - Gender,35 to 44 years,2016 Counts,1.1.5.2,4507770,,202855,,198285,,116625,,74185,,7475,,2290,,2285,,4304915,
2021,Canada,2021A000011124,Total - Gender,35 to 44 years,% distribution (2021),1.1.5.3,100,,4.5,,4.3,,2.5,,1.6,,0.2,,0.1,,0.1,,95.5,
2021,Canada,2021A000011124,Total - Gender,35 to 44 years,% distribution (2016),1.1.5.4,100,,4.5,,4.4,,2.6,,1.6,,0.2,,0.1,,0.1,,95.5,
2021,Canada,2021A000011124,Total - Gender,35 to 44 years,% change (2016 to 2021),1.1.5.5,8.2,,8.7,,7.5,,8,,7.2,,3.6,,48.4,,73,,8.1,
2021,Canada,2021A000011124,Total - Gender,45 to 54 years,2021 Counts,1.1.6.1,4634845,,206360,,199300,,115560,,76445,,7300,,2890,,4175,,4428485,
2021,Canada,2021A000011124,Total - Gender,45 to 54 years,2016 Counts,1.1.6.2,4991975,,212190,,206820,,117945,,82065,,6810,,2335,,3040,,4779785,
2021,Canada,2021A000011124,Total - Gender,45 to 54 years,% distribution (2021),1.1.6.3,100,,4.5,,4.3,,2.5,,1.6,,0.2,,0.1,,0.1,,95.5,
2021,Canada,2021A000011124,Total - Gender,45 to 54 years,% distribution (2016),1.1.6.4,100,,4.3,,4.1,,2.4,,1.6,,0.1,,0,,0.1,,95.7,
2021,Canada,2021A000011124,Total - Gender,45 to 54 years,% change (2016 to 2021),1.1.6.5,-7.1,,-1.7,,-2.6,,-0.2,,-6.8,,7.2,,23.6,,37.9,,-7.3,
2021,Canada,2021A000011124,Total - Gender,55 to 64 years,2021 Counts,1.1.7.1,5162365,,202780,,195145,,109460,,80095,,5585,,2435,,5205,,4959580,
2021,Canada,2021A000011124,Total - Gender,55 to 64 years,2016 Counts,1.1.7.2,4855060,,168910,,162925,,87140,,71505,,4285,,2355,,3620,,4686150,
2021,Canada,2021A000011124,Total - Gender,55 to 64 years,% distribution (2021),1.1.7.3,100,,3.9,,3.8,,2.1,,1.6,,0.1,,0,,0.1,,96.1,
2021,Canada,2021A000011124,Total - Gender,55 to 64 years,% distribution (2016),1.1.7.4,100,,3.5,,3.4,,1.8,,1.5,,0.1,,0,,0.1,,96.5,
2021,Canada,2021A000011124,Total - Gender,55 to 64 years,% change (2016 to 2021),1.1.7.5,6.4,,21.3,,21.1,,28.2,,12,,30.3,,3.4,,44.3,,5.8,
2021,Canada,2021A000011124,Total - Gender,65 years and over,2021 Counts,1.1.8.1,6586600,,172360,,163570,,90435,,68995,,4135,,2305,,6485,,6414245,
2021,Canada,2021A000011124,Total - Gender,65 years and over,2016 Counts,1.1.8.2,5479905,,121670,,116250,,62070,,51115,,3060,,2000,,3415,,5358240,
2021,Canada,2021A000011124,Total - Gender,65 years and over,% distribution (2021),1.1.8.3,100,,2.6,,2.5,,1.4,,1,,0.1,,0,,0.1,,97.4,
2021,Canada,2021A000011124,Total - Gender,65 years and over,% distribution (2016),1.1.8.4,100,,2.2,,2.1,,1.1,,0.9,,0.1,,0,,0.1,,97.8,
2021,Canada,2021A000011124,Total - Gender,65 years and over,% change (2016 to 2021),1.1.8.5,20.2,,43.1,,42.2,,48.7,,35,,34.9,,15.3,,89.9,,19.7,
2021,Canada,2021A000011124,Men+,Total - Age,2021 Counts,1.2.1.1,17937165,,877645,,847380,,506515,,306220,,34650,,13645,,16620,,17059515,
2021,Canada,2021A000011124,Men+,Total - Age,2016 Counts,1.2.1.2,16971580,,813520,,792975,,471510,,289435,,32030,,10170,,10380,,16158060,
2021,Canada,2021A000011124,Men+,Total - Age,% distribution (2021),1.2.1.3,100,,4.9,,4.7,,2.8,,1.7,,0.2,,0.1,,0.1,,95.1,
2021,Canada,2021A000011124,Men+,Total - Age,% distribution (2016),1.2.1.4,100,,4.8,,4.7,,2.8,,1.7,,0.2,,0.1,,0.1,,95.2,
2021,Canada,2021A000011124,Men+,Total - Age,% change (2016 to 2021),1.2.1.5,5.8,,9.3,,8.3,,9.9,,5.8,,8.2,,34.2,,60.3,,5.6,
2021,Canada,2021A000011124,Men+,0 to 14 years,2021 Counts,1.2.2.1,3075920,,233695,,225915,,145025,,69330,,11560,,4455,,3325,,2842225,
2021,Canada,2021A000011124,Men+,0 to 14 years,2016 Counts,1.2.2.2,2981145,,228570,,222995,,145430,,66720,,10845,,3100,,2465,,2752575,
2021,Canada,2021A000011124,Men+,0 to 14 years,% distribution (2021),1.2.2.3,100,,7.6,,7.3,,4.7,,2.3,,0.4,,0.1,,0.1,,92.4,
2021,Canada,2021A000011124,Men+,0 to 14 years,% distribution (2016),1.2.2.4,100,,7.7,,7.5,,4.9,,2.2,,0.4,,0.1,,0.1,,92.3,
2021,Canada,2021A000011124,Men+,0 to 14 years,% change (2016 to 2021),1.2.2.5,3.3,,3.9,,3,,2.3,,4,,6.6,,43.7,,35.2,,3.3,
2021,Canada,2021A000011124,Men+,15 to 24 years,2021 Counts,1.2.3.1,2161145,,145600,,140880,,86895,,47850,,6135,,2385,,2335,,2015540,
2021,Canada,2021A000011124,Men+,15 to 24 years,2016 Counts,1.2.3.2,2170395,,142550,,139300,,85675,,47610,,6010,,1630,,1620,,2027845,
2021,Canada,2021A000011124,Men+,15 to 24 years,% distribution (2021),1.2.3.3,100,,6.7,,6.5,,4,,2.2,,0.3,,0.1,,0.1,,93.3,
2021,Canada,2021A000011124,Men+,15 to 24 years,% distribution (2016),1.2.3.4,100,,6.6,,6.4,,3.9,,2.2,,0.3,,0.1,,0.1,,93.4,
2021,Canada,2021A000011124,Men+,15 to 24 years,% change (2016 to 2021),1.2.3.5,-0.3,,3.5,,2.5,,3.7,,0.5,,2.1,,46.2,,44.6,,-0.6,
2021,Canada,2021A000011124,Men+,25 to 34 years,2021 Counts,1.2.4.1,2453265,,126800,,122605,,74720,,42725,,5160,,2020,,2180,,2326465,
2021,Canada,2021A000011124,Men+,25 to 34 years,2016 Counts,1.2.4.2,2264960,,111055,,108470,,64190,,39445,,4830,,1240,,1350,,2153910,
2021,Canada,2021A000011124,Men+,25 to 34 years,% distribution (2021),1.2.4.3,100,,5.2,,5,,3,,1.7,,0.2,,0.1,,0.1,,94.8,
2021,Canada,2021A000011124,Men+,25 to 34 years,% distribution (2016),1.2.4.4,100,,4.9,,4.8,,2.8,,1.7,,0.2,,0.1,,0.1,,95.1,
2021,Canada,2021A000011124,Men+,25 to 34 years,% change (2016 to 2021),1.2.4.5,8.4,,15.7,,14.6,,19.1,,8.3,,6.8,,62.9,,61.1,,8,
2021,Canada,2021A000011124,Men+,35 to 44 years,2021 Counts,1.2.5.1,2384015,,101915,,98445,,57345,,37360,,3740,,1455,,2015,,2282100,
2021,Canada,2021A000011124,Men+,35 to 44 years,2016 Counts,1.2.5.2,2195070,,95065,,92845,,54180,,35070,,3600,,1080,,1140,,2100005,
2021,Canada,2021A000011124,Men+,35 to 44 years,% distribution (2021),1.2.5.3,100,,4.3,,4.1,,2.4,,1.6,,0.2,,0.1,,0.1,,95.7,
2021,Canada,2021A000011124,Men+,35 to 44 years,% distribution (2016),1.2.5.4,100,,4.3,,4.2,,2.5,,1.6,,0.2,,0,,0.1,,95.7,
2021,Canada,2021A000011124,Men+,35 to 44 years,% change (2016 to 2021),1.2.5.5,8.7,,8.5,,7.4,,8.1,,6.6,,4,,35.2,,76.8,,8.7,
2021,Canada,2021A000011124,Men+,45 to 54 years,2021 Counts,1.2.6.1,2264460,,96840,,93640,,53345,,36880,,3420,,1225,,1980,,2167615,
2021,Canada,2021A000011124,Men+,45 to 54 years,2016 Counts,1.2.6.2,2442660,,100160,,97670,,54675,,39730,,3260,,1010,,1480,,2342500,
2021,Canada,2021A000011124,Men+,45 to 54 years,% distribution (2021),1.2.6.3,100,,4.3,,4.1,,2.4,,1.6,,0.2,,0.1,,0.1,,95.7,
2021,Canada,2021A000011124,Men+,45 to 54 years,% distribution (2016),1.2.6.4,100,,4.1,,4,,2.2,,1.6,,0.1,,0,,0.1,,95.9,
2021,Canada,2021A000011124,Men+,45 to 54 years,% change (2016 to 2021),1.2.6.5,-7.2,,-2.3,,-3.1,,-0.5,,-7.2,,4.8,,21.3,,34.2,,-7.5,
2021,Canada,2021A000011124,Men+,55 to 64 years,2021 Counts,1.2.7.1,2518595,,93715,,90515,,49365,,38475,,2675,,1040,,2155,,2424880,
2021,Canada,2021A000011124,Men+,55 to 64 years,2016 Counts,1.2.7.2,2365860,,79715,,77365,,40100,,35260,,2005,,1085,,1265,,2286145,
2021,Canada,2021A000011124,Men+,55 to 64 years,% distribution (2021),1.2.7.3,100,,3.7,,3.6,,2,,1.5,,0.1,,0,,0.1,,96.3,
2021,Canada,2021A000011124,Men+,55 to 64 years,% distribution (2016),1.2.7.4,100,,3.4,,3.3,,1.7,,1.5,,0.1,,0,,0.1,,96.6,
2021,Canada,2021A000011124,Men+,55 to 64 years,% change (2016 to 2021),1.2.7.5,6.5,,18.8,,18.3,,25.8,,9.1,,33.7,,-4.6,,70.8,,6.1,
2021,Canada,2021A000011124,Men+,65 years and over,2021 Counts,1.2.8.1,3079765,,79075,,75375,,39815,,33605,,1950,,1065,,2630,,3000690,
2021,Canada,2021A000011124,Men+,65 years and over,2016 Counts,1.2.8.2,2551480,,56405,,54330,,27255,,25585,,1485,,1015,,1060,,2495075,
2021,Canada,2021A000011124,Men+,65 years and over,% distribution (2021),1.2.8.3,100,,2.6,,2.4,,1.3,,1.1,,0.1,,0,,0.1,,97.4,
2021,Canada,2021A000011124,Men+,65 years and over,% distribution (2016),1.2.8.4,100,,2.2,,2.1,,1.1,,1,,0.1,,0,,0,,97.8,
2021,Canada,2021A000011124,Men+,65 years and over,% change (2016 to 2021),1.2.8.5,20.7,,41.6,,40.2,,49.2,,31.4,,31.3,,4.9,,148.1,,20.3,
2021,Canada,2021A000011124,Women+,Total - Age,2021 Counts,1.3.1.1,18391310,,929600,,895780,,541890,,318000,,35895,,15210,,18605,,17461710,
2021,Canada,2021A000011124,Women+,Total - Age,2016 Counts,1.3.1.2,17488485,,860265,,836830,,505725,,298110,,32995,,11145,,12285,,16628220,
2021,Canada,2021A000011124,Women+,Total - Age,% distribution (2021),1.3.1.3,100,,5.1,,4.9,,2.9,,1.7,,0.2,,0.1,,0.1,,94.9,
2021,Canada,2021A000011124,Women+,Total - Age,% distribution (2016),1.3.1.4,100,,4.9,,4.8,,2.9,,1.7,,0.2,,0.1,,0.1,,95.1,
2021,Canada,2021A000011124,Women+,Total - Age,% change (2016 to 2021),1.3.1.5,5.2,,9.4,,8.4,,9.5,,6.7,,8.8,,36.6,,51.8,,5,
2021,Canada,2021A000011124,Women+,0 to 14 years,2021 Counts,1.3.2.1,2916640,,225515,,218000,,138630,,68265,,11105,,4195,,3320,,2691130,
2021,Canada,2021A000011124,Women+,0 to 14 years,2016 Counts,1.3.2.2,2835900,,220300,,215310,,140395,,64265,,10645,,2910,,2080,,2615600,
2021,Canada,2021A000011124,Women+,0 to 14 years,% distribution (2021),1.3.2.3,100,,7.7,,7.5,,4.8,,2.3,,0.4,,0.1,,0.1,,92.3,
2021,Canada,2021A000011124,Women+,0 to 14 years,% distribution (2016),1.3.2.4,100,,7.8,,7.6,,5,,2.3,,0.4,,0.1,,0.1,,92.2,
2021,Canada,2021A000011124,Women+,0 to 14 years,% change (2016 to 2021),1.3.2.5,3,,4,,2.9,,1.2,,6.3,,4.4,,44.4,,60,,2.9,
2021,Canada,2021A000011124,Women+,15 to 24 years,2021 Counts,1.3.3.1,2019910,,139285,,134690,,84020,,44635,,6035,,2390,,2205,,1880625,
2021,Canada,2021A000011124,Women+,15 to 24 years,2016 Counts,1.3.3.2,2061325,,140835,,137500,,85030,,46485,,5980,,1850,,1490,,1920490,
2021,Canada,2021A000011124,Women+,15 to 24 years,% distribution (2021),1.3.3.3,100,,6.9,,6.7,,4.2,,2.2,,0.3,,0.1,,0.1,,93.1,
2021,Canada,2021A000011124,Women+,15 to 24 years,% distribution (2016),1.3.3.4,100,,6.8,,6.7,,4.1,,2.3,,0.3,,0.1,,0.1,,93.2,
2021,Canada,2021A000011124,Women+,15 to 24 years,% change (2016 to 2021),1.3.3.5,-1.9,,0.2,,-0.7,,1,,-4,,1,,29.2,,48,,-2.1,
2021,Canada,2021A000011124,Women+,25 to 34 years,2021 Counts,1.3.4.1,2445355,,136855,,132405,,80265,,46365,,5775,,2395,,2055,,2308505,
2021,Canada,2021A000011124,Women+,25 to 34 years,2016 Counts,1.3.4.2,2311610,,124850,,121955,,72730,,44145,,5080,,1590,,1305,,2186765,
2021,Canada,2021A000011124,Women+,25 to 34 years,% distribution (2021),1.3.4.3,100,,5.6,,5.4,,3.3,,1.9,,0.2,,0.1,,0.1,,94.4,
2021,Canada,2021A000011124,Women+,25 to 34 years,% distribution (2016),1.3.4.4,100,,5.4,,5.3,,3.1,,1.9,,0.2,,0.1,,0.1,,94.6,
2021,Canada,2021A000011124,Women+,25 to 34 years,% change (2016 to 2021),1.3.4.5,5.9,,10.9,,9.9,,12.6,,5.1,,13.8,,50.3,,58.5,,5.6,
2021,Canada,2021A000011124,Women+,35 to 44 years,2021 Counts,1.3.5.1,2488405,,116075,,112210,,66055,,42150,,4000,,1930,,1930,,2372330,
2021,Canada,2021A000011124,Women+,35 to 44 years,2016 Counts,1.3.5.2,2312705,,107795,,105440,,62450,,39110,,3880,,1210,,1140,,2204905,
2021,Canada,2021A000011124,Women+,35 to 44 years,% distribution (2021),1.3.5.3,100,,4.7,,4.5,,2.7,,1.7,,0.2,,0.1,,0.1,,95.3,
2021,Canada,2021A000011124,Women+,35 to 44 years,% distribution (2016),1.3.5.4,100,,4.7,,4.6,,2.7,,1.7,,0.2,,0.1,,0,,95.3,
2021,Canada,2021A000011124,Women+,35 to 44 years,% change (2016 to 2021),1.3.5.5,7.7,,8.9,,7.6,,7.8,,7.8,,3.1,,60.2,,68.6,,7.6,
2021,Canada,2021A000011124,Women+,45 to 54 years,2021 Counts,1.3.6.1,2370385,,109520,,105660,,62215,,39565,,3885,,1665,,2190,,2260865,
2021,Canada,2021A000011124,Women+,45 to 54 years,2016 Counts,1.3.6.2,2549320,,112035,,109145,,63270,,42330,,3550,,1320,,1560,,2437285,
2021,Canada,2021A000011124,Women+,45 to 54 years,% distribution (2021),1.3.6.3,100,,4.6,,4.5,,2.6,,1.7,,0.2,,0.1,,0.1,,95.4,
2021,Canada,2021A000011124,Women+,45 to 54 years,% distribution (2016),1.3.6.4,100,,4.4,,4.3,,2.5,,1.7,,0.1,,0.1,,0.1,,95.6,
2021,Canada,2021A000011124,Women+,45 to 54 years,% change (2016 to 2021),1.3.6.5,-7,,-1.3,,-2.2,,0.1,,-6.5,,9.3,,26.1,,41.2,,-7.2,
2021,Canada,2021A000011124,Women+,55 to 64 years,2021 Counts,1.3.7.1,2643775,,109075,,104625,,60095,,41625,,2905,,1395,,3050,,2534705,
2021,Canada,2021A000011124,Women+,55 to 64 years,2016 Counts,1.3.7.2,2489195,,89195,,85565,,47040,,36245,,2280,,1270,,2355,,2400005,
2021,Canada,2021A000011124,Women+,55 to 64 years,% distribution (2021),1.3.7.3,100,,4.1,,4,,2.3,,1.6,,0.1,,0.1,,0.1,,95.9,
2021,Canada,2021A000011124,Women+,55 to 64 years,% distribution (2016),1.3.7.4,100,,3.6,,3.4,,1.9,,1.5,,0.1,,0.1,,0.1,,96.4,
2021,Canada,2021A000011124,Women+,55 to 64 years,% change (2016 to 2021),1.3.7.5,6.3,,23.6,,23.6,,30.2,,14.9,,27.4,,10.2,,30.3,,5.6,
2021,Canada,2021A000011124,Women+,65 years and over,2021 Counts,1.3.8.1,3506840,,93285,,88195,,50620,,35385,,2185,,1245,,3855,,3413550,
2021,Canada,2021A000011124,Women+,65 years and over,2016 Counts,1.3.8.2,2928430,,65265,,61920,,34810,,25530,,1580,,990,,2355,,2863165,
2021,Canada,2021A000011124,Women+,65 years and over,% distribution (2021),1.3.8.3,100,,2.7,,2.5,,1.4,,1,,0.1,,0,,0.1,,97.3,
2021,Canada,2021A000011124,Women+,65 years and over,% distribution (2016),1.3.8.4,100,,2.2,,2.1,,1.2,,0.9,,0.1,,0,,0.1,,97.8,
2021,Canada,2021A000011124,Women+,65 years and over,% change (2016 to 2021),1.3.8.5,19.8,,44.5,,44,,48.3,,38.6,,38.3,,25.3,,64,,19.2,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,Total - Age,2021 Counts,2.1.1.1,502095,,46550,,43095,,28430,,7330,,7335,,685,,2770,,455550,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,Total - Age,2016 Counts,2.1.1.2,512250,,45725,,42615,,28375,,7785,,6450,,555,,2555,,466525,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,Total - Age,% distribution (2021),2.1.1.3,100,,9.3,,8.6,,5.7,,1.5,,1.5,,0.1,,0.6,,90.7,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,Total - Age,% distribution (2016),2.1.1.4,100,,8.9,,8.3,,5.5,,1.5,,1.3,,0.1,,0.5,,91.1,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,Total - Age,% change (2016 to 2021),2.1.1.5,-2,,1.8,,1.1,,0.2,,-5.8,,13.7,,23.4,,8.2,,-2.4,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,0 to 14 years,2021 Counts,2.1.2.1,68145,,8750,,8145,,5245,,1375,,1530,,205,,405,,59390,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,0 to 14 years,2016 Counts,2.1.2.2,74315,,9455,,8815,,5830,,1565,,1415,,160,,485,,64855,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,0 to 14 years,% distribution (2021),2.1.2.3,100,,12.8,,12,,7.7,,2,,2.2,,0.3,,0.6,,87.2,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,0 to 14 years,% distribution (2016),2.1.2.4,100,,12.7,,11.9,,7.8,,2.1,,1.9,,0.2,,0.7,,87.3,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,0 to 14 years,% change (2016 to 2021),2.1.2.5,-8.3,,-7.4,,-7.6,,-10,,-12.1,,7.8,,25,,-15.5,,-8.4,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,15 to 24 years,2021 Counts,2.1.3.1,51430,,6445,,6065,,3955,,985,,1125,,80,,305,,44985,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,15 to 24 years,2016 Counts,2.1.3.2,54735,,6970,,6595,,4395,,1235,,965,,90,,285,,47765,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,15 to 24 years,% distribution (2021),2.1.3.3,100,,12.5,,11.8,,7.7,,1.9,,2.2,,0.2,,0.6,,87.5,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,15 to 24 years,% distribution (2016),2.1.3.4,100,,12.7,,12,,8,,2.3,,1.8,,0.2,,0.5,,87.3,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,15 to 24 years,% change (2016 to 2021),2.1.3.5,-6,,-7.5,,-8.1,,-10.1,,-20.2,,16.6,,-11.1,,7,,-5.8,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,25 to 34 years,2021 Counts,2.1.4.1,52050,,5695,,5320,,3440,,965,,915,,60,,320,,46360,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,25 to 34 years,2016 Counts,2.1.4.2,57425,,5370,,5060,,3215,,1010,,830,,70,,240,,52050,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,25 to 34 years,% distribution (2021),2.1.4.3,100,,10.9,,10.2,,6.6,,1.9,,1.8,,0.1,,0.6,,89.1,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,25 to 34 years,% distribution (2016),2.1.4.4,100,,9.4,,8.8,,5.6,,1.8,,1.4,,0.1,,0.4,,90.6,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,25 to 34 years,% change (2016 to 2021),2.1.4.5,-9.4,,6,,5.1,,6.8,,-4,,10.2,,-21.4,,31.3,,-10.9,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,35 to 44 years,2021 Counts,2.1.5.1,59840,,5490,,5140,,3325,,900,,910,,70,,280,,54345,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,35 to 44 years,2016 Counts,2.1.5.2,65035,,5835,,5495,,3440,,1100,,950,,60,,280,,59195,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,35 to 44 years,% distribution (2021),2.1.5.3,100,,9.2,,8.6,,5.6,,1.5,,1.5,,0.1,,0.5,,90.8,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,35 to 44 years,% distribution (2016),2.1.5.4,100,,9,,8.4,,5.3,,1.7,,1.5,,0.1,,0.4,,91,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,35 to 44 years,% change (2016 to 2021),2.1.5.5,-8,,-5.9,,-6.6,,-3.3,,-17.7,,-4.2,,16.7,,0,,-8.2,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,45 to 54 years,2021 Counts,2.1.6.1,71950,,6625,,6175,,3925,,1190,,1055,,75,,375,,65325,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,45 to 54 years,2016 Counts,2.1.6.2,80935,,6800,,6270,,4215,,1125,,930,,65,,465,,74130,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,45 to 54 years,% distribution (2021),2.1.6.3,100,,9.2,,8.6,,5.5,,1.7,,1.5,,0.1,,0.5,,90.8,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,45 to 54 years,% distribution (2016),2.1.6.4,100,,8.4,,7.7,,5.2,,1.4,,1.1,,0.1,,0.6,,91.6,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,45 to 54 years,% change (2016 to 2021),2.1.6.5,-11.1,,-2.6,,-1.5,,-7,,5.8,,13.4,,7.1,,-19.4,,-11.9,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,55 to 64 years,2021 Counts,2.1.7.1,83945,,6670,,6105,,4230,,985,,890,,90,,470,,77275,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,55 to 64 years,2016 Counts,2.1.7.2,84495,,6185,,5645,,3910,,985,,745,,75,,465,,78305,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,55 to 64 years,% distribution (2021),2.1.7.3,100,,7.9,,7.3,,5,,1.2,,1.1,,0.1,,0.6,,92.1,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,55 to 64 years,% distribution (2016),2.1.7.4,100,,7.3,,6.7,,4.6,,1.2,,0.9,,0.1,,0.6,,92.7,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,55 to 64 years,% change (2016 to 2021),2.1.7.5,-0.7,,7.8,,8.1,,8.2,,0.5,,18.8,,26.7,,0,,-1.3,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,65 years and over,2021 Counts,2.1.8.1,114740,,6870,,6150,,4320,,925,,910,,105,,610,,107870,
2021,Newfoundland and Labrador,2021A000210,Total - Gender,65 years and over,2016 Counts,2.1.8.2,95315,,5105,,4735,,3365,,760,,605,,30,,335,,90215,
